primary_accession	country	length	EPA_major_clade	host		
AY340703	Bolivia	320	Cosmopolitan	Canis familiaris		
GU646855	Brazil	320	Cosmopolitan	Felis catus		
GU646854	Brazil	320	Cosmopolitan	Felis catus		
GU646852	Brazil	320	Cosmopolitan	Felis catus		
GU646851	Brazil	320	Cosmopolitan	Felis catus		
GU646850	Brazil	320	Cosmopolitan	Felis catus		
GU646847	Brazil	320	Cosmopolitan	Canis familiaris		
GU646840	Brazil	320	Cosmopolitan	Canis familiaris		
GU646839	Brazil	320	Cosmopolitan	Canis familiaris		
GU646838	Brazil	320	Cosmopolitan	Canis familiaris		
GU646837	Brazil	320	Cosmopolitan	Canis familiaris		
GU646836	Brazil	320	Cosmopolitan	Canis familiaris		
GU646835	Brazil	320	Cosmopolitan	Canis familiaris		
GU646834	Brazil	320	Cosmopolitan	Canis familiaris		
GU646832	Brazil	320	Cosmopolitan	Bos taurus		
GU646831	Brazil	320	Cosmopolitan	Bos taurus		
GU646830	Brazil	320	Cosmopolitan	Bos taurus		
GU646829	Brazil	320	Cosmopolitan	Bos taurus		
GU646814	Brazil	320	Cosmopolitan	Canis familiaris		
GU646813	Brazil	320	Cosmopolitan	Canis familiaris		
GU646812	Brazil	320	Cosmopolitan	Canis familiaris		
GU646811	Brazil	320	Cosmopolitan	Canis familiaris		
GU646810	Brazil	320	Cosmopolitan	Canis familiaris		
GU646809	Brazil	320	Cosmopolitan	Canis familiaris		
GU646808	Brazil	320	Cosmopolitan	Canis familiaris		
GU646807	Brazil	320	Cosmopolitan	Canis familiaris		
GU646806	Brazil	320	Cosmopolitan	Canis familiaris		
GU646805	Brazil	320	Cosmopolitan	Canis familiaris		
GU646804	Brazil	320	Cosmopolitan	Canis familiaris		
GU646803	Brazil	320	Cosmopolitan	Canis familiaris		
GU646802	Brazil	320	Cosmopolitan	Canis familiaris		
GU646801	Brazil	320	Cosmopolitan	Canis familiaris		
GU646800	Brazil	320	Cosmopolitan	Canis familiaris		
GU646799	Brazil	320	Cosmopolitan	Canis familiaris		
GU646798	Brazil	320	Cosmopolitan	Canis familiaris		
GU646797	Brazil	320	Cosmopolitan	Canis familiaris		
DQ275596	Puerto Rico	370	Cosmopolitan	mongoose		
AF352633	Mexico	384	Cosmopolitan	Tadarida brasiliensis (insectivorous bat)		
DQ275568	Puerto Rico	392	Cosmopolitan	mongoose		
DQ275580	Puerto Rico	395	Cosmopolitan	Felis catus		
U22862	Brazil	400	Cosmopolitan	Canis familiaris		
HQ116829	Chile	405	Cosmopolitan	Homo sapiens		
DQ275591	Puerto Rico	419	Cosmopolitan	mongoose		
JF950553	Brazil	428	RAC-SK	Myotis nigricans		
MN549362	Mexico	429	Cosmopolitan	bovine		
DQ275575	Puerto Rico	431	Cosmopolitan			
DQ497416	Brazil	438	Cosmopolitan	Canis		
DQ497415	Brazil	438	Cosmopolitan	Canis		
JN897340	Brazil	444	Asian	Molossus molossus		
JN897338	Brazil	444	Asian	Nyctinomops laticaudatus		
JN897320	Brazil	444	Cosmopolitan	Canis familiaris		
JN897319	Brazil	444	Cosmopolitan	Canis familiaris		
JN897318	Brazil	444	Cosmopolitan	Canis familiaris		
JN897317	Brazil	444	Cosmopolitan	Canis familiaris		
JN897316	Brazil	444	Cosmopolitan	Canis familiaris		
JN897315	Brazil	444	Cosmopolitan	Canis familiaris		
JN897314	Brazil	444	Cosmopolitan	Canis familiaris		
JN897313	Brazil	444	Cosmopolitan	Canis familiaris		
JN897312	Brazil	444	Cosmopolitan	Cerdocyon thous		
JN897311	Brazil	444	Cosmopolitan	Cerdocyon thous		
JN897310	Brazil	444	Cosmopolitan	Cerdocyon thous		
JN897309	Brazil	444	Cosmopolitan	Cerdocyon thous		
PV857575	Brazil	477	Cosmopolitan	dog		
PV857574	Brazil	477	Cosmopolitan	dog		
MK887206	Mexico	483	Cosmopolitan	Desmodus rotundus		
MK887205	Mexico	483	Cosmopolitan	Desmodus rotundus		
MK887204	Mexico	483	Cosmopolitan	Desmodus rotundus		
MK887203	Mexico	483	Cosmopolitan	Desmodus rotundus		
PV891643	Brazil	496	Cosmopolitan	dog		
PV891642	Brazil	496	Cosmopolitan	dog		
PV891641	Brazil	496	Cosmopolitan	dog		
PV891640	Brazil	496	Cosmopolitan	dog		
KR902345	Mexico	501	Cosmopolitan	Canis familiaris		
DQ661014	Brazil	513	Cosmopolitan	Felis catus		
DQ837177	Cuba	518	Cosmopolitan	Sus scrofa		
DQ837168	Cuba	520	Cosmopolitan	Canis familiaris		
DQ837175	Cuba	523	Cosmopolitan	Canis familiaris		
EF675757	Brazil	526	Cosmopolitan			
AY962094	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962093	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962092	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962091	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962090	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962089	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962086	Brazil	528	Cosmopolitan	Canis familiaris		
AY962084	Brazil	528	Cosmopolitan	Canis familiaris		
AY962081	Brazil	528	Cosmopolitan	Canis familiaris		
AY962080	Brazil	528	Cosmopolitan	Canis familiaris		
AY962079	Brazil	528	Cosmopolitan	Canis familiaris		
AY962077	Brazil	528	Cosmopolitan	Canis familiaris		
AY962076	Brazil	528	Cosmopolitan	Canis familiaris		
AY962059	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962058	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962057	Brazil	528	Cosmopolitan	Vulpes vulpes		
AY962054	Brazil	528	Cosmopolitan	Canis familiaris		
AY962049	Brazil	528	Cosmopolitan	Canis familiaris		
AY962048	Brazil	528	Cosmopolitan	Canis familiaris		
AY854563	Cuba	529	Cosmopolitan	Ovis aries		
AY854553	Cuba	529	Cosmopolitan	Canis familiaris		
AY854549	Cuba	529	Cosmopolitan	Sus scrofa		
AY854537	Cuba	529	Cosmopolitan	Ovis aries		
AY854523	Cuba	529	Cosmopolitan	Canis familiaris		
AY854516	Cuba	529	Cosmopolitan	Bos taurus		
AY854514	Cuba	529	Cosmopolitan	Felis catus		
AY854577	Cuba	530	Cosmopolitan	Canis familiaris		
AY854572	Cuba	530	Cosmopolitan	Felis catus		
AY854571	Cuba	530	Cosmopolitan	Canis familiaris		
AY854570	Cuba	530	Cosmopolitan	mongoose		
AY854568	Cuba	530	Cosmopolitan	mongoose		
AY854566	Cuba	530	Cosmopolitan	Felis catus		
AY854565	Cuba	530	Cosmopolitan	Canis familiaris		
AY854557	Cuba	530	Cosmopolitan	Felis catus		
AY854556	Cuba	530	Cosmopolitan	Canis familiaris		
AY854555	Cuba	530	Cosmopolitan	mongoose		
AY854551	Cuba	530	Cosmopolitan	Canis familiaris		
AY854543	Cuba	530	Cosmopolitan	mongoose		
AY854542	Cuba	530	Cosmopolitan	Canis familiaris		
AY854541	Cuba	530	Cosmopolitan	Canis familiaris		
AY854540	Cuba	530	Cosmopolitan	Felis catus		
AY854539	Cuba	530	Cosmopolitan	mongoose		
AY854538	Cuba	530	Cosmopolitan	mongoose		
AY854535	Cuba	530	Cosmopolitan	mongoose		
AY854533	Cuba	530	Cosmopolitan	mongoose		
AY854532	Cuba	530	Cosmopolitan	Felis catus		
AY854528	Cuba	530	Cosmopolitan	Bos taurus		
AY854526	Cuba	530	Cosmopolitan	Bos taurus		
AY854522	Cuba	530	Cosmopolitan	Bos taurus		
AY854521	Cuba	530	Cosmopolitan	Canis familiaris		
AY854519	Cuba	530	Cosmopolitan	Canis familiaris		
AY854518	Cuba	530	Cosmopolitan	mongoose		
AY854517	Cuba	530	Cosmopolitan	Bos taurus		
AY854513	Cuba	530	Cosmopolitan	mongoose		
AY854512	Cuba	530	Cosmopolitan	Canis familiaris		
AY854511	Cuba	530	Cosmopolitan	Felis catus		
AY854510	Cuba	530	Cosmopolitan	Canis familiaris		
AY854509	Cuba	530	Cosmopolitan	mongoose		
AY854508	Cuba	530	Cosmopolitan	mongoose		
AY854503	Cuba	530	Cosmopolitan	Bos taurus		
AY854502	Cuba	530	Cosmopolitan	mongoose		
DQ837176	Cuba	531	Cosmopolitan	Capra hircus		
AY563516	Brazil	533	Cosmopolitan	Homo sapiens		
AY998299	Mexico	539	Cosmopolitan	Canis familiaris		
DQ837181	Cuba	541	Cosmopolitan	Canis familiaris		
KF831564	Peru	543	Cosmopolitan	Canis familiaris		
DQ837172	Cuba	544	Cosmopolitan	Canis familiaris		
DQ837171	Cuba	547	Cosmopolitan	Bos taurus		
DQ837179	Cuba	548	Cosmopolitan	Canis familiaris		
DQ837169	Cuba	548	Cosmopolitan	Canis familiaris		
DQ837167	Cuba	548	Cosmopolitan	Felis catus		
DQ837180	Cuba	549	Cosmopolitan	Canis familiaris		
DQ837173	Cuba	549	Cosmopolitan	Ovis aries		
OQ672732	Brazil	549	RAC-SK	insectivorous bat		
DQ837182	Cuba	551	Cosmopolitan	Ovis aries		
DQ837184	Cuba	552	Cosmopolitan	Felis catus		
PV091163	Cuba	552	Cosmopolitan	feline		
DQ837183	Cuba	557	Cosmopolitan	mongoose		
DQ837170	Cuba	566	Cosmopolitan	Felis catus		
DQ837178	Cuba	579	Cosmopolitan	mongoose		
EU665202	Argentina	584	Cosmopolitan			
DQ275585	Puerto Rico	585	Cosmopolitan	mongoose		
MW302204	Argentina	586	Asian	Myotis sp.		
MW302203	Argentina	586	Asian	Myotis sp.		
MW302202	Argentina	586	Asian	Myotis sp.		
MW302195	Argentina	586		Canis lupus familiaris		
MW302194	Argentina	586	Cosmopolitan	Canis lupus familiaris		
MW302193	Argentina	586	Cosmopolitan	Canis lupus familiaris		
DQ275594	Puerto Rico	598	Cosmopolitan	mongoose		
DQ275567	Puerto Rico	598	Cosmopolitan	mongoose		
DQ275597	Puerto Rico	599	Cosmopolitan	Felis catus		
DQ275587	Puerto Rico	599	Cosmopolitan	mongoose		
AB247451	Brazil	599	Cosmopolitan	Sus		
AB247449	Brazil	599	Cosmopolitan	Canis lupus familiaris		
AB247444	Brazil	599	Cosmopolitan	Bos taurus		
AB247417	Brazil	599	Cosmopolitan	Canis familiaris		
AB247413	Brazil	599	Cosmopolitan	Canis familiaris		
AB247409	Brazil	599	Cosmopolitan	Felis catus		
AB247408	Brazil	599	Cosmopolitan	Felis catus		
AB247448	Brazil	599	Cosmopolitan	Homo sapiens		
AB247439	Brazil	599	Cosmopolitan	Homo sapiens		
AB247438	Brazil	599	Cosmopolitan	Homo sapiens		
AB247397	Brazil	599	Cosmopolitan	Bos taurus		
AF357285	Brazil	600	Cosmopolitan	Desmodus rotundus		
DQ275595	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275593	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275590	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275588	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275586	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275584	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275572	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275571	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275570	Puerto Rico	604	Cosmopolitan	mongoose		
DQ275576	Puerto Rico	605	Cosmopolitan	mongoose		
DQ275573	Puerto Rico	605	Cosmopolitan	mongoose		
DQ275578	Puerto Rico	607	Cosmopolitan	Canis familiaris		
DQ275566	Puerto Rico	607	Cosmopolitan	mongoose		
AY998283	Mexico	607	Cosmopolitan	Canis familiaris		
AY998258	Mexico	607	Cosmopolitan	skunk		
AY998256	Mexico	607	Cosmopolitan	Canis familiaris		
AY998254	Mexico	607	Cosmopolitan	Lynx rufus		
AY998249	Mexico	607	Cosmopolitan	Lynx rufus		
AY998248	Mexico	607	Cosmopolitan	Canis familiaris		
AY998247	Mexico	607	Cosmopolitan	skunk		
AB291107	Brazil	609	Cosmopolitan	Dusicyon sp.		
AB291106	Brazil	609	Cosmopolitan	Dusicyon sp.		
AB291105	Brazil	609	Cosmopolitan	Dusicyon sp.		
AB291104	Brazil	609	Cosmopolitan	Dusicyon sp.		
AB291103	Brazil	609	Cosmopolitan	Dusicyon sp.		
AB291091	Brazil	609	Cosmopolitan	Canis familiaris		
AB291090	Brazil	609	Cosmopolitan	Canis familiaris		
AB291089	Brazil	609	Cosmopolitan	Canis familiaris		
AB291088	Brazil	609	Cosmopolitan	Canis familiaris		
AB291087	Brazil	609	Cosmopolitan	Canis familiaris		
AB291086	Brazil	609	Cosmopolitan	Felis catus		
AB291085	Brazil	609	Cosmopolitan	Felis catus		
AB291084	Brazil	609	Cosmopolitan	Felis catus		
DQ275574	Puerto Rico	610	Cosmopolitan	mongoose		
DQ275564	Puerto Rico	613	Cosmopolitan	mongoose		
DQ275581	Puerto Rico	616	Cosmopolitan	Canis familiaris		
DQ275565	Puerto Rico	616	Cosmopolitan	mongoose		
PV091145	Cuba	654	Cosmopolitan	Canis lupus familiaris		
PV891639	Brazil	655	Cosmopolitan	dog		
PV891638	Brazil	655	Cosmopolitan	dog		
PV091164	Cuba	660	Cosmopolitan	feline		
PV891645	Brazil	661	Cosmopolitan	Homo sapiens		
PP536670	Brazil	714	Cosmopolitan			
PP536669	Brazil	714	Cosmopolitan	mice		
PP536668	Brazil	714	Cosmopolitan	mice		
PP536667	Brazil	714	Cosmopolitan	mice		
PP536666	Brazil	714	Cosmopolitan	mice		
PP536665	Brazil	714	Cosmopolitan	mice		
PP536664	Brazil	714	Cosmopolitan	mice		
PP536663	Brazil	714	Cosmopolitan	mice		
PP536662	Brazil	714	Cosmopolitan	mice		
PP536661	Brazil	714	Cosmopolitan	mice		
PP536660	Brazil	714	Cosmopolitan			
PP536659	Brazil	714	Cosmopolitan			
PP536658	Brazil	714	Cosmopolitan			
PP536657	Brazil	714	Cosmopolitan			
PP536656	Brazil	714	Cosmopolitan			
PP536655	Brazil	714	Cosmopolitan			
PP536654	Brazil	714	Cosmopolitan			
PP536653	Brazil	714	Cosmopolitan			
PP536652	Brazil	714	Cosmopolitan	mice		
PP536651	Brazil	714	Cosmopolitan	mice		
PP536650	Brazil	714	Cosmopolitan	mice		
PP536649	Brazil	714	Cosmopolitan	mice		
PP536648	Brazil	714	Cosmopolitan	mice		
PP536647	Brazil	714	Cosmopolitan	mice		
PP536646	Brazil	714	Cosmopolitan	mice		
PP536645	Brazil	714	Cosmopolitan	mice		
PP536644	Brazil	714	Cosmopolitan	mice		
PV091157	Cuba	735	Cosmopolitan	Canis lupus familiaris		
OK247536	Mexico	737	Cosmopolitan	puma		
OK247535	Mexico	749	Cosmopolitan	puma		
PV091152	Cuba	756	Cosmopolitan	Canis lupus familiaris		
OK247534	Mexico	764	Cosmopolitan	fox		
OK247533	Mexico	764	Cosmopolitan	bob cat		
OK247532	Mexico	764	Cosmopolitan	skunk		
OK247531	Mexico	764	Cosmopolitan	puma		
OK247530	Mexico	764	Cosmopolitan	puma		
OK247529	Mexico	764	Cosmopolitan	puma		
OK247528	Mexico	764	Cosmopolitan	puma		
OK247527	Mexico	764	Cosmopolitan	equine		
PX738155	Haiti	774	Cosmopolitan	dog		
EU665201	Argentina	787	Cosmopolitan			
PV091158	Cuba	792	Cosmopolitan	Canis lupus familiaris		
JQ037818	Mexico	794	RAC-SK	skunk		
PP105589	Mexico	795	Cosmopolitan	Felis catus		
PP105588	Mexico	795	Cosmopolitan	Felis catus		
PP105587	Mexico	795	Cosmopolitan	Felis catus		
PP105586	Mexico	795	Cosmopolitan	Felis catus		
PP105585	Mexico	795	Cosmopolitan	Felis catus		
PP105584	Mexico	795	Cosmopolitan	Felis catus		
PP105583	Mexico	795	Cosmopolitan	Felis catus		
PP105582	Mexico	795	Cosmopolitan	Felis catus		
AY998244	Mexico	796	Cosmopolitan	Homo sapiens		
AY998275	Mexico	799	RAC-SK	skunk		
DQ275569	Puerto Rico	813	Cosmopolitan	mongoose		
PV091160	Cuba	816	Cosmopolitan	mangoose		
PQ963932	Mexico	829	Cosmopolitan	skunk		
PQ963931	Mexico	829	Cosmopolitan	skunk		
PQ963930	Mexico	829	Cosmopolitan	skunk		
DQ275592	Puerto Rico	841	Cosmopolitan	mongoose		
PV091149	Cuba	846	Cosmopolitan	Sus scrofa		
DQ275583	Puerto Rico	858	Cosmopolitan	Canis familiaris		
PV091159	Cuba	864	Cosmopolitan	mangoose		
DQ275589	Puerto Rico	883	Cosmopolitan	mongoose		
PV091147	Cuba	888	Cosmopolitan	mangoose		
AB291136	Brazil	891	Cosmopolitan	Dusicyon sp.		
PP583703	Brazil	891	Cosmopolitan			
PP583702	Brazil	891	Cosmopolitan			
PP583701	Brazil	891	Cosmopolitan			
PP583700	Brazil	891	Cosmopolitan			
PP583699	Brazil	891	Cosmopolitan			
PP583698	Brazil	891	Cosmopolitan			
PP583697	Brazil	891	Cosmopolitan			
PP583696	Brazil	891	Cosmopolitan			
PP583695	Brazil	891	Cosmopolitan			
PP583694	Brazil	891	Cosmopolitan			
PP583693	Brazil	891	Cosmopolitan			
PP583692	Brazil	891	Cosmopolitan			
PP583691	Brazil	891	Cosmopolitan			
PP583690	Brazil	891	Cosmopolitan			
PP583689	Brazil	891	Cosmopolitan			
PP583688	Brazil	891	Cosmopolitan			
PP583687	Brazil	891	Cosmopolitan			
PP583686	Brazil	891	Cosmopolitan			
PP583685	Brazil	891	Cosmopolitan			
PP583684	Brazil	891	Cosmopolitan			
PP583683	Brazil	891	Cosmopolitan	mice		
PP583682	Brazil	891	Cosmopolitan	mice		
PP583681	Brazil	891	Cosmopolitan	mice		
PP583680	Brazil	891	Cosmopolitan	mice		
PP583679	Brazil	891	Cosmopolitan	mice		
PP583678	Brazil	891	Cosmopolitan	mice		
PP583677	Brazil	891	Cosmopolitan	mice		
PP583676	Brazil	891	Cosmopolitan	mice		
PP583675	Brazil	891	Cosmopolitan	mice		
AB291137	Brazil	894	Cosmopolitan	Dusicyon sp.		
AB291133	Brazil	894	Cosmopolitan	Dusicyon sp.		
AB291128	Brazil	894	Asian	Eptesicus furinalis		
AB291127	Brazil	894	Asian	Eptesicus furinalis		
AB291126	Brazil	894	Asian	Eptesicus furinalis		
AB291125	Brazil	894	Asian	Eptesicus furinalis		
AB291121	Brazil	894	Cosmopolitan	Canis familiaris		
AB291120	Brazil	894	Cosmopolitan	Canis familiaris		
AB291119	Brazil	894	Cosmopolitan	Canis familiaris		
AB291118	Brazil	894	Cosmopolitan	Canis familiaris		
AB291117	Brazil	894	Cosmopolitan	Canis familiaris		
AB291116	Brazil	894	Cosmopolitan	Felis catus		
AB291115	Brazil	894	Cosmopolitan	Felis catus		
AB291114	Brazil	894	Cosmopolitan	Felis catus		
PV091148	Cuba	900	Cosmopolitan	feline		
AB291135	Brazil	906	Cosmopolitan	Dusicyon sp.		
AB291134	Brazil	906	Cosmopolitan	Dusicyon sp.		
AF369323	Peru	920	Cosmopolitan	Canis familiaris		
AF369315	Paraguay	920	Cosmopolitan	Canis familiaris		
AF369314	Brazil	920	Cosmopolitan	Canis familiaris		
AF369313	Mexico	920	Cosmopolitan	Canis familiaris		
AF369303	Puerto Rico	920	Cosmopolitan	Herpestes javanicus		
DQ275579	Puerto Rico	933	Cosmopolitan	Equus caballus		
DQ275563	Puerto Rico	933	Cosmopolitan	mongoose		
DQ275577	Puerto Rico	934	Cosmopolitan	Canis familiaris		
KC792221	Mexico	959	RAC-SK	skunk		
DQ275582	Puerto Rico	964	Cosmopolitan	Canis familiaris		
PV091150	Cuba	993	Cosmopolitan	mangoose		
PV091165	Cuba	1005	Cosmopolitan	Canis lupus familiaris		
PV091151	Cuba	1056	Cosmopolitan	Canis lupus familiaris		
PV091155	Cuba	1077	Cosmopolitan	Canis lupus familiaris		
PV091144	Cuba	1086	Cosmopolitan	Canis lupus familiaris		
PV091167	Cuba	1119	Cosmopolitan	bovine		
PV091143	Cuba	1119	Cosmopolitan	mangoose		
PV091162	Cuba	1128	Cosmopolitan	mangoose		
PV091153	Cuba	1143	Cosmopolitan	Canis lupus familiaris		
PV091161	Cuba	1155	Cosmopolitan	Canis lupus familiaris		
PV091142	Cuba	1161	Cosmopolitan	Canis lupus familiaris		
PV091166	Cuba	1161	Cosmopolitan	Canis lupus familiaris		
PV091146	Cuba	1164	Cosmopolitan	Canis lupus familiaris		
PV091156	Cuba	1188	Cosmopolitan	Canis lupus familiaris		
KJ001493	Mexico	1192	Cosmopolitan	Canis familiaris		
KC792258	Mexico	1197	Cosmopolitan	Canis familiaris		
PX952678	Brazil	1218	Cosmopolitan	bat		
OP762295	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762294	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762293	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762292	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762291	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762290	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762289	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762288	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762287	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762286	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762285	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762284	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762283	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762282	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762281	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762280	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762279	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762278	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762277	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
OP762276	Brazil	1221	Cosmopolitan	Canis lupus familiaris		
KJ001531	Mexico	1232	Cosmopolitan	Canis familiaris		
KJ001532	Mexico	1251	Cosmopolitan	Canis familiaris		
KJ001495	Mexico	1261	Cosmopolitan	Canis familiaris		
KJ001507	Mexico	1285	Cosmopolitan	Canis familiaris		
JQ037824	Mexico	1288	Cosmopolitan	Canis familiaris		
JQ037823	Mexico	1288	Cosmopolitan	Canis familiaris		
JQ037822	Mexico	1288	Cosmopolitan	Canis familiaris		
JQ037821	Mexico	1288	Cosmopolitan	Canis familiaris		
JQ037820	Mexico	1288	Cosmopolitan	Canis familiaris		
JQ037819	Mexico	1288	Cosmopolitan	Canis familiaris		
KJ001501	Mexico	1293	Cosmopolitan	Canis familiaris		
KJ001533	Mexico	1295	Cosmopolitan	Canis familiaris		
KJ001514	Mexico	1298	Cosmopolitan	Canis familiaris		
KJ001511	Mexico	1298	Cosmopolitan	Canis familiaris		
KJ001504	Mexico	1300	Cosmopolitan	Canis familiaris		
KJ001512	Mexico	1302	Cosmopolitan	Canis familiaris		
KJ001503	Mexico	1304	Cosmopolitan	Canis familiaris		
KJ001498	Mexico	1304	Cosmopolitan	Canis familiaris		
GU123662	Brazil	1305	Cosmopolitan	Cerdocyon thous		
GU123661	Brazil	1305	Cosmopolitan	Cerdocyon thous		
GU123660	Brazil	1305	Cosmopolitan	Cerdocyon thous		
GU123659	Brazil	1305	Cosmopolitan	Cerdocyon thous		
GU123658	Brazil	1305	Cosmopolitan	Cerdocyon thous		
GU123657	Brazil	1305	Cosmopolitan	Cerdocyon thous		
GU123656	Brazil	1305	Cosmopolitan	Canis familiaris		
GU123655	Brazil	1305	Cosmopolitan	Canis familiaris		
GU123654	Brazil	1305	Cosmopolitan	Canis familiaris		
GU123653	Brazil	1305	Cosmopolitan	Canis familiaris		
GU123652	Brazil	1305	Cosmopolitan	Canis familiaris		
GU123651	Brazil	1305	Cosmopolitan	Felis catus		
KJ001494	Mexico	1305	Cosmopolitan	Canis familiaris		
KJ001497	Mexico	1306	Cosmopolitan	Canis familiaris		
KJ001496	Mexico	1306	Cosmopolitan	Canis familiaris		
KJ001489	Mexico	1306	Cosmopolitan	Canis familiaris		
KJ001506	Mexico	1308	Cosmopolitan	Canis familiaris		
KJ001536	Mexico	1315	Cosmopolitan	Canis familiaris		
KJ001513	Mexico	1315	Cosmopolitan	Canis familiaris		
KJ001508	Mexico	1315	Cosmopolitan	Canis familiaris		
OL451904	Argentina	1329		Canis lupus familiaris		
AB207884	Brazil	1332	Cosmopolitan	Vulpes		
AB206413	Brazil	1332	Cosmopolitan	Vulpes		
AB206412	Brazil	1332	Cosmopolitan	Vulpes		
AB206411	Brazil	1332	Cosmopolitan	Vulpes vulpes		
AB206410	Brazil	1332	Cosmopolitan	Vulpes		
AB206409	Brazil	1332	Cosmopolitan	Vulpes		
AB206408	Brazil	1332	Cosmopolitan	Vulpes		
AB206407	Brazil	1332	Cosmopolitan	Vulpes		
AB263299	Brazil	1332	Cosmopolitan	Felis catus		
AB263298	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263297	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263295	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263294	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263293	Brazil	1332	Cosmopolitan	Felis catus		
AB263292	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263345	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263344	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263343	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263342	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263341	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263340	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263339	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263338	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263337	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263336	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263335	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263334	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263332	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263331	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263330	Brazil	1332	Cosmopolitan	Felis catus		
AB263329	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263328	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263327	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263326	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263324	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263323	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263322	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263321	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263320	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263319	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263318	Brazil	1332	Cosmopolitan	Felis catus		
AB263317	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263316	Brazil	1332	Cosmopolitan	Felis catus		
AB263315	Brazil	1332	Cosmopolitan	Felis catus		
AB263314	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263313	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263312	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263311	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263310	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263309	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263308	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263307	Brazil	1332	Cosmopolitan	Felis catus		
AB263306	Brazil	1332	Cosmopolitan	Felis catus		
AB263305	Brazil	1332	Cosmopolitan	Felis catus		
AB263304	Brazil	1332	Cosmopolitan	Canis familiaris		
AB263303	Brazil	1332	Cosmopolitan	Felis catus		
